Name,Rider Number,Team,H,M,S
K. ASGREEN,143,T-REX – Quick-Step,4,42,58
J. VAN DEN BERG,144,TEAM DSM-FIRMENICH POSTNL,4,43,12
K. GRADEK,145,BAHRAIN VICTORIOUS,4,43,12
F. ENGELHARDT,146,TEAM JAYCO ALULA,4,43,12
P. GAMPER,147,RED BULL - BORA - HANSGROHE,4,43,12
Q. HERMANS,148,ALPECIN-DECEUNINCK,4,43,12
W. VAN AERT,149,TEAM VISMA | LEASE A BIKE,4,43,33
G. BRUSSENSKIY,150,ASTANA QAZAQSTAN TEAM,4,43,33
N. VINOKUROV,151,ASTANA QAZAQSTAN TEAM,4,43,33
X. ISASA LARRAÑAGA,152,EUSKALTEL-EUSKADI,4,43,33
F. ZANA,153,TEAM JAYCO ALULA,4,43,33
S. MONIQUET,154,LOTTO DSTNY,4,43,33
M. BIZKARRA ETXEGIBEL,155,EUSKALTEL-EUSKADI,4,43,33
D. TEUNS,156,ISRAEL - PREMIER TECH,4,43,33
A. SOTO GUIRAO,157,EQUIPO KERN PHARMA,4,44,43
I. RUIZ SEDANO,158,EQUIPO KERN PHARMA,4,44,47
L. VERGALLITO,159,ALPECIN-DECEUNINCK,4,44,47
E. PLANCKAERT,160,ALPECIN-DECEUNINCK,4,44,47
A. DE MARCHI,161,TEAM JAYCO ALULA,4,44,47
A. MARIT,162,INTERMARCHÉ - WANTY,4,44,47
T. PAQUOT,163,INTERMARCHÉ - WANTY,4,44,47
I. SCHELLING,164,ASTANA QAZAQSTAN TEAM,4,44,53
B. COQUARD,165,COFIDIS,4,45,9
M. BALLERSTEDT,166,ALPECIN-DECEUNINCK,4,45,20
O. RIESEBEEK,167,ALPECIN-DECEUNINCK,4,45,20
K. GROVES,168,ALPECIN-DECEUNINCK,4,45,20
J. HOLLMANN,169,ALPECIN-DECEUNINCK,4,45,20
J. TARLING,170,INEOS GRENADIERS,4,45,20
J. ABERASTURI IZAGA,171,EUSKALTEL-EUSKADI,4,45,20
N. DENZ,172,RED BULL - BORA - HANSGROHE,4,45,20
E. AFFINI,173,TEAM VISMA | LEASE A BIKE,4,46,11
T. NABERMAN,174,TEAM DSM-FIRMENICH POSTNL,4,46,11
E. GESBERT,175,ARKEA-B&B HOTELS,4,47,36
